what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349427877951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1349427879092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427882512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427884933
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349427885854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427892039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427897037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349427913202
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349427915217
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1349427918653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427922214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427924057
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1349427925104
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349427929727
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1349427935225
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1349427940769
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349427956809
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1349427961370
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1349427961432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427980721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427986047
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1349427987156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427993513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427993513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427993622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427997995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349427998198
error,log,,,"Error: null",1349428018143
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349428018159
error,log,,,"Error: null",1349428020361
error,log,,,"Error: null",1349428023328
error,log,,,"Error: null",1349428026655
error,log,,,"Error: null",1349428028826
error,log,,,"Error: null",1349428034074
error,log,,,"Error: null",1349428040196
error,log,,,"Error: null",1349428057127
error,log,,,"Error: null",1349428058579
error,log,,,"Error: null",1349428066108
error,log,,,"Error: null",1349428080414
error,log,,,"Error: null",1349428093456
error,log,,,"Error: null",1349428095033
error,log,,,"Error: null",1349428239348
error,log,,,"Error: null",1349428241238
error,log,,,"Error: null",1349428244002
error,log,,,"Error: null",1349428244924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428249890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428256653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428268648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1349428268679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428273880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428282189
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349428282205
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1349428290077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428290202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428295153
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1349428295168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428300541
error,log,,,"Error: null",1349428330154
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349428330154
error,log,,,"Error: null",1349428331341
error,log,,,"Error: null",1349428333075
error,log,,,"Error: null",1349428335480
error,log,,,"Error: null",1349428336839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428357299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349428361188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428362016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428437312
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349428437328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1349428468831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428479232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428485402
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.clean.up",1349428485433
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349428489884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428497647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349428498912
